Term	Gene	Chr	Start	End	Factor	Desc	Title	Class
GSM2130859	AT1G59750	Chr1	21975190	21977354	NFYB2	10 uM abscisic acid for 4 hours	AT5G47640_NFYB2_ABA_ChIP_rep1	TF	ChIP-seq
GSM2130861	AT1G59750	Chr1	21975193	21977344	NFYB2	10 uM abscisic acid for 4 hours	AT5G47640_NFYB2_ABA_ChIP_rep2	TF	ChIP-seq
GSM2130862	AT1G59750	Chr1	21975199	21977351	NFYB2	EtOH mock treatment for 4 hours	AT5G47640_NFYB2_EtOH_ChIP_rep2	TF	ChIP-seq
GSM2130860	AT1G59750	Chr1	21975202	21977358	NFYB2	EtOH mock treatment for 4 hours	AT5G47640_NFYB2_EtOH_ChIP_rep1	TF	ChIP-seq
GSM1257923	AT1G59750	Chr1	21975298	21977720	NRPE1	genotype: Wild type ecotype: Columbia w/ NRPE1-Flag transgene	121119_LJ_ChIPseq_index_10_rawreads_50bp.qseq.gz	EF	ChIP-seq
GSM2130954	AT1G59750	Chr1	21975301	21977402	ZAT6	EtOH mock treatment for 4 hours	AT5G04340_ZAT6_EtOH_ChIP_rep1	TF	ChIP-seq
GSM940587	AT1G59750	Chr1	21975313	21977729	AP3	negative control (AP1-GR ap1 cal)	negative control (AP1-GR ap1 cal)	TF	ChIP-seq
GSM2130863	AT1G59750	Chr1	21975316	21977328	NFYB2	10 uM abscisic acid for 4 hours	AT5G47640_NFYB2_ABA_ChIP_rep3	TF	ChIP-seq
GSM2130864	AT1G59750	Chr1	21975391	21977290	NFYB2	EtOH mock treatment for 4 hours	AT5G47640_NFYB2_EtOH_ChIP_rep3	TF	ChIP-seq
GSM2130953	AT1G59750	Chr1	21975442	21977364	ZAT6	10 uM abscisic acid for 4 hours	AT5G04340_ZAT6_ABA_ChIP_rep1	TF	ChIP-seq
GSM2130955	AT1G59750	Chr1	21975479	21977320	ZAT6	10 uM abscisic acid for 4 hours	AT5G04340_ZAT6_ABA_ChIP_rep2	TF	ChIP-seq
GSM2130956	AT1G59750	Chr1	21975710	21977338	ZAT6	EtOH mock treatment for 4 hours	AT5G04340_ZAT6_EtOH_ChIP_rep2	TF	ChIP-seq
GSM2130946	AT1G59750	Chr1	21975757	21977425	HB5	EtOH mock treatment for 4 hours	AT5G65310_HB5_EtOH_ChIP_rep3	TF	ChIP-seq
GSM2130942	AT1G59750	Chr1	21975766	21977435	HB5	EtOH mock treatment for 4 hours	AT5G65310_HB5_EtOH_ChIP_rep1	TF	ChIP-seq
GSM2130943	AT1G59750	Chr1	21975804	21977420	HB5	10 uM abscisic acid for 4 hours	AT5G65310_HB5_ABA_ChIP_rep2	TF	ChIP-seq
GSM2130975	AT1G59750	Chr1	21975834	21977319	ABF3	10 uM abscisic acid for 4 hours	AT4G34000_ABF3_ABA_ChIP_rep1	TF	ChIP-seq
GSM2130941	AT1G59750	Chr1	21975836	21977378	HB5	10 uM abscisic acid for 4 hours	AT5G65310_HB5_ABA_ChIP_rep1	TF	ChIP-seq
GSM1264686	AT1G59750	Chr1	21975842	21977337	BBM	2;4-D induced somatic embryos; pBBM::BBM-YFP	pBBM::BBM-YFP	TF	ChIP-seq
GSM2130944	AT1G59750	Chr1	21975868	21977390	HB5	EtOH mock treatment for 4 hours	AT5G65310_HB5_EtOH_ChIP_rep2	TF	ChIP-seq
GSM2131012	AT1G59750	Chr1	21975870	21977320	DTAF1	10 uM dexamethasone; 6 hours	AT3G45810_DTAF1_Dex_6h_ChIP	TF	ChIP-seq
GSM2130945	AT1G59750	Chr1	21975871	21977413	HB5	10 uM abscisic acid for 4 hours	AT5G65310_HB5_ABA_ChIP_rep3	TF	ChIP-seq
GSM2131013	AT1G59750	Chr1	21975898	21977328	DTAF2	10 uM dexamethasone; 6 hours	AT5G50360_DTAF2_Dex_6h_ChIP	TF	ChIP-seq
GSM1103233	AT1G59750	Chr1	21975925	21977699	NRPD1	nrpd1-4 with NRPD1-3XFLAG transgene plant	PolIV ChIP replicate 2	EF	ChIP-seq
